condition,gold,idx,mean_logprob,num_answer_tokens,position_count,positions,sum_logprob,task,token_logprobs
cache_query,Beard,764764_1993.txt_ceo_lastname_45,-0.00011061407712986693,2,2,"[7064, 7065]",-0.00022122815425973386,ceo_lastname,"[-0.0002203936892328784, -8.344646857949556e-07]"
patch_query,Beard,764764_1993.txt_ceo_lastname_45,-0.9635382294654846,2,2,"[7064, 7065]",-1.9270764589309692,ceo_lastname,"[-1.9083311557769775, -0.018745293840765953]"
cache_early_prompt,Beard,764764_1993.txt_ceo_lastname_45,-0.00011061407712986693,2,2,"[0, 1]",-0.00022122815425973386,ceo_lastname,"[-0.0002203936892328784, -8.344646857949556e-07]"
patch_early_prompt,Beard,764764_1993.txt_ceo_lastname_45,-4.564369201660156,2,2,"[0, 1]",-9.128738403320312,ceo_lastname,"[-8.44000244140625, -0.6887364387512207]"
cache_random_prompt_00,Beard,764764_1993.txt_ceo_lastname_45,-0.00011061407712986693,2,2,"[5582, 5602]",-0.00022122815425973386,ceo_lastname,"[-0.0002203936892328784, -8.344646857949556e-07]"
patch_random_prompt_00,Beard,764764_1993.txt_ceo_lastname_45,-4.57190465927124,2,2,"[5582, 5602]",-9.14380931854248,ceo_lastname,"[-8.450989723205566, -0.6928195357322693]"
cache_random_prompt_01,Beard,764764_1993.txt_ceo_lastname_45,-0.00011061407712986693,2,2,"[90, 1845]",-0.00022122815425973386,ceo_lastname,"[-0.0002203936892328784, -8.344646857949556e-07]"
patch_random_prompt_01,Beard,764764_1993.txt_ceo_lastname_45,-4.576746940612793,2,2,"[90, 1845]",-9.153493881225586,ceo_lastname,"[-8.452816009521484, -0.7006775736808777]"
cache_random_prompt_02,Beard,764764_1993.txt_ceo_lastname_45,-0.00011061407712986693,2,2,"[4469, 6772]",-0.00022122815425973386,ceo_lastname,"[-0.0002203936892328784, -8.344646857949556e-07]"
patch_random_prompt_02,Beard,764764_1993.txt_ceo_lastname_45,-4.558204174041748,2,2,"[4469, 6772]",-9.116408348083496,ceo_lastname,"[-8.431310653686523, -0.685097336769104]"
cache_random_prompt_03,Beard,764764_1993.txt_ceo_lastname_45,-0.00011061407712986693,2,2,"[1258, 1749]",-0.00022122815425973386,ceo_lastname,"[-0.0002203936892328784, -8.344646857949556e-07]"
patch_random_prompt_03,Beard,764764_1993.txt_ceo_lastname_45,-4.577263832092285,2,2,"[1258, 1749]",-9.15452766418457,ceo_lastname,"[-8.451234817504883, -0.7032933235168457]"
cache_random_prompt_04,Beard,764764_1993.txt_ceo_lastname_45,-0.00011061407712986693,2,2,"[3552, 6448]",-0.00022122815425973386,ceo_lastname,"[-0.0002203936892328784, -8.344646857949556e-07]"
patch_random_prompt_04,Beard,764764_1993.txt_ceo_lastname_45,-4.570265769958496,2,2,"[3552, 6448]",-9.140531539916992,ceo_lastname,"[-8.447196960449219, -0.693334698677063]"
clean,Newton,55387_1993.txt_ceo_lastname_11,-0.0023761154152452946,1,1,[7070],-0.0023761154152452946,ceo_lastname,[-0.0023761154152452946]
qr_ablate,Newton,55387_1993.txt_ceo_lastname_11,-9.367043495178223,1,0,[],-9.367043495178223,ceo_lastname,[-9.367043495178223]
cache_answer,Newton,55387_1993.txt_ceo_lastname_11,-0.0023761154152452946,1,1,[7070],-0.0023761154152452946,ceo_lastname,[-0.0023761154152452946]
patch_answer,Newton,55387_1993.txt_ceo_lastname_11,-2.251549243927002,1,1,[7070],-2.251549243927002,ceo_lastname,[-2.251549243927002]
cache_query,Newton,55387_1993.txt_ceo_lastname_11,-0.0023761154152452946,1,1,[7055],-0.0023761154152452946,ceo_lastname,[-0.0023761154152452946]
patch_query,Newton,55387_1993.txt_ceo_lastname_11,-7.425866603851318,1,1,[7055],-7.425866603851318,ceo_lastname,[-7.425866603851318]
cache_early_prompt,Newton,55387_1993.txt_ceo_lastname_11,-0.0023761154152452946,1,1,[0],-0.0023761154152452946,ceo_lastname,[-0.0023761154152452946]
patch_early_prompt,Newton,55387_1993.txt_ceo_lastname_11,-9.36376667022705,1,1,[0],-9.36376667022705,ceo_lastname,[-9.36376667022705]
cache_random_prompt_00,Newton,55387_1993.txt_ceo_lastname_11,-0.0023761154152452946,1,1,[370],-0.0023761154152452946,ceo_lastname,[-0.0023761154152452946]
patch_random_prompt_00,Newton,55387_1993.txt_ceo_lastname_11,-9.377518653869629,1,1,[370],-9.377518653869629,ceo_lastname,[-9.377518653869629]
cache_random_prompt_01,Newton,55387_1993.txt_ceo_lastname_11,-0.0023761154152452946,1,1,[1549],-0.0023761154152452946,ceo_lastname,[-0.0023761154152452946]
patch_random_prompt_01,Newton,55387_1993.txt_ceo_lastname_11,-9.362629890441895,1,1,[1549],-9.362629890441895,ceo_lastname,[-9.362629890441895]
cache_random_prompt_02,Newton,55387_1993.txt_ceo_lastname_11,-0.0023761154152452946,1,1,[3349],-0.0023761154152452946,ceo_lastname,[-0.0023761154152452946]
patch_random_prompt_02,Newton,55387_1993.txt_ceo_lastname_11,-9.365452766418457,1,1,[3349],-9.365452766418457,ceo_lastname,[-9.365452766418457]
cache_random_prompt_03,Newton,55387_1993.txt_ceo_lastname_11,-0.0023761154152452946,1,1,[2993],-0.0023761154152452946,ceo_lastname,[-0.0023761154152452946]
patch_random_prompt_03,Newton,55387_1993.txt_ceo_lastname_11,-9.377750396728516,1,1,[2993],-9.377750396728516,ceo_lastname,[-9.377750396728516]
cache_random_prompt_04,Newton,55387_1993.txt_ceo_lastname_11,-0.0023761154152452946,1,1,[2055],-0.0023761154152452946,ceo_lastname,[-0.0023761154152452946]
patch_random_prompt_04,Newton,55387_1993.txt_ceo_lastname_11,-9.373396873474121,1,1,[2055],-9.373396873474121,ceo_lastname,[-9.373396873474121]
clean,Peterson,865227_1993.txt_ceo_lastname_51,-0.013604321517050266,2,2,"[7004, 7005]",-0.027208643034100533,ceo_lastname,"[-0.027203993871808052, -4.6491513785440475e-06]"
qr_ablate,Peterson,865227_1993.txt_ceo_lastname_51,-4.059054374694824,2,0,[],-8.118108749389648,ceo_lastname,"[-8.10588264465332, -0.012225925922393799]"
cache_answer,Peterson,865227_1993.txt_ceo_lastname_51,-0.013604321517050266,2,2,"[7004, 7005]",-0.027208643034100533,ceo_lastname,"[-0.027203993871808052, -4.6491513785440475e-06]"
patch_answer,Peterson,865227_1993.txt_ceo_lastname_51,-2.1081573963165283,2,2,"[7004, 7005]",-4.216314792633057,ceo_lastname,"[-4.215756416320801, -0.000558220490347594]"
cache_query,Peterson,865227_1993.txt_ceo_lastname_51,-0.013604321517050266,2,2,"[6988, 6989]",-0.027208643034100533,ceo_lastname,"[-0.027203993871808052, -4.6491513785440475e-06]"
patch_query,Peterson,865227_1993.txt_ceo_lastname_51,-0.7541007399559021,2,2,"[6988, 6989]",-1.5082014799118042,ceo_lastname,"[-1.5081208944320679, -8.05822346592322e-05]"
cache_early_prompt,Peterson,865227_1993.txt_ceo_lastname_51,-0.013604321517050266,2,2,"[0, 1]",-0.027208643034100533,ceo_lastname,"[-0.027203993871808052, -4.6491513785440475e-06]"
patch_early_prompt,Peterson,865227_1993.txt_ceo_lastname_51,-4.086960792541504,2,2,"[0, 1]",-8.173921585083008,ceo_lastname,"[-8.161590576171875, -0.012331316247582436]"
cache_random_prompt_00,Peterson,865227_1993.txt_ceo_lastname_51,-0.013604321517050266,2,2,"[1437, 4444]",-0.027208643034100533,ceo_lastname,"[-0.027203993871808052, -4.6491513785440475e-06]"
patch_random_prompt_00,Peterson,865227_1993.txt_ceo_lastname_51,-4.0653977394104,2,2,"[1437, 4444]",-8.1307954788208,ceo_lastname,"[-8.118553161621094, -0.01224264781922102]"
cache_random_prompt_01,Peterson,865227_1993.txt_ceo_lastname_51,-0.013604321517050266,2,2,"[2379, 5973]",-0.027208643034100533,ceo_lastname,"[-0.027203993871808052, -4.6491513785440475e-06]"
patch_random_prompt_01,Peterson,865227_1993.txt_ceo_lastname_51,-4.058091163635254,2,2,"[2379, 5973]",-8.116182327270508,ceo_lastname,"[-8.104110717773438, -0.012071765027940273]"
cache_random_prompt_02,Peterson,865227_1993.txt_ceo_lastname_51,-0.013604321517050266,2,2,"[700, 4078]",-0.027208643034100533,ceo_lastname,"[-0.027203993871808052, -4.6491513785440475e-06]"
patch_random_prompt_02,Peterson,865227_1993.txt_ceo_lastname_51,-4.059545516967773,2,2,"[700, 4078]",-8.119091033935547,ceo_lastname,"[-8.107037544250488, -0.012053391896188259]"
cache_random_prompt_03,Peterson,865227_1993.txt_ceo_lastname_51,-0.013604321517050266,2,2,"[2157, 6174]",-0.027208643034100533,ceo_lastname,"[-0.027203993871808052, -4.6491513785440475e-06]"
patch_random_prompt_03,Peterson,865227_1993.txt_ceo_lastname_51,-4.061426639556885,2,2,"[2157, 6174]",-8.12285327911377,ceo_lastname,"[-8.110825538635254, -0.012027479708194733]"
cache_random_prompt_04,Peterson,865227_1993.txt_ceo_lastname_51,-0.013604321517050266,2,2,"[1393, 4324]",-0.027208643034100533,ceo_lastname,"[-0.027203993871808052, -4.6491513785440475e-06]"
patch_random_prompt_04,Peterson,865227_1993.txt_ceo_lastname_51,-4.066081523895264,2,2,"[1393, 4324]",-8.132163047790527,ceo_lastname,"[-8.11990737915039, -0.01225548330694437]"
clean,Goodes,104669_1993.txt_ceo_lastname_84,-0.12039069831371307,2,2,"[7101, 7102]",-0.24078139662742615,ceo_lastname,"[-0.24072584509849548, -5.5549986427649856e-05]"
qr_ablate,Goodes,104669_1993.txt_ceo_lastname_84,-7.332618236541748,2,0,[],-14.665236473083496,ceo_lastname,"[-10.774112701416016, -3.8911240100860596]"
cache_answer,Goodes,104669_1993.txt_ceo_lastname_84,-0.12039069831371307,2,2,"[7101, 7102]",-0.24078139662742615,ceo_lastname,"[-0.24072584509849548, -5.5549986427649856e-05]"
patch_answer,Goodes,104669_1993.txt_ceo_lastname_84,-3.667253255844116,2,2,"[7101, 7102]",-7.334506511688232,ceo_lastname,"[-7.319975852966309, -0.014530789107084274]"
cache_query,Goodes,104669_1993.txt_ceo_lastname_84,-0.12039069831371307,2,2,"[7085, 7086]",-0.24078139662742615,ceo_lastname,"[-0.24072584509849548, -5.5549986427649856e-05]"
patch_query,Goodes,104669_1993.txt_ceo_lastname_84,-4.086853981018066,2,2,"[7085, 7086]",-8.173707962036133,ceo_lastname,"[-8.11260986328125, -0.06109786778688431]"
cache_early_prompt,Goodes,104669_1993.txt_ceo_lastname_84,-0.12039069831371307,2,2,"[0, 1]",-0.24078139662742615,ceo_lastname,"[-0.24072584509849548, -5.5549986427649856e-05]"
patch_early_prompt,Goodes,104669_1993.txt_ceo_lastname_84,-7.342588424682617,2,2,"[0, 1]",-14.685176849365234,ceo_lastname,"[-10.755210876464844, -3.9299654960632324]"
cache_random_prompt_00,Goodes,104669_1993.txt_ceo_lastname_84,-0.12039069831371307,2,2,"[2755, 4918]",-0.24078139662742615,ceo_lastname,"[-0.24072584509849548, -5.5549986427649856e-05]"
patch_random_prompt_00,Goodes,104669_1993.txt_ceo_lastname_84,-7.338507175445557,2,2,"[2755, 4918]",-14.677014350891113,ceo_lastname,"[-10.767082214355469, -3.9099323749542236]"
cache_random_prompt_01,Goodes,104669_1993.txt_ceo_lastname_84,-0.12039069831371307,2,2,"[5282, 6241]",-0.24078139662742615,ceo_lastname,"[-0.24072584509849548, -5.5549986427649856e-05]"
patch_random_prompt_01,Goodes,104669_1993.txt_ceo_lastname_84,-7.326228618621826,2,2,"[5282, 6241]",-14.652457237243652,ceo_lastname,"[-10.770978927612305, -3.8814785480499268]"
cache_random_prompt_02,Goodes,104669_1993.txt_ceo_lastname_84,-0.12039069831371307,2,2,"[2215, 5264]",-0.24078139662742615,ceo_lastname,"[-0.24072584509849548, -5.5549986427649856e-05]"
patch_random_prompt_02,Goodes,104669_1993.txt_ceo_lastname_84,-7.336812973022461,2,2,"[2215, 5264]",-14.673625946044922,ceo_lastname,"[-10.767158508300781, -3.9064669609069824]"
cache_random_prompt_03,Goodes,104669_1993.txt_ceo_lastname_84,-0.12039069831371307,2,2,"[4532, 6437]",-0.24078139662742615,ceo_lastname,"[-0.24072584509849548, -5.5549986427649856e-05]"
