condition,head,mean_margin_damage_fraction,median_margin_damage_fraction,n,positive_fraction,source_position_group,target_position_group,task
random,14-31,-0.00013841022440253044,-0.00015590312352110113,29,0.3448275862068966,gold_sentence,answer,ceo_lastname
distractor,14-31,-0.0003804978525947202,-0.00010748788449040416,29,0.27586206896551724,gold_sentence,query,ceo_lastname
gold,14-31,0.00031049080845387336,-0.000250865701721014,29,0.4827586206896552,gold_sentence,query,ceo_lastname
random,14-31,-0.00010910996198120982,-5.0468716799719265e-06,29,0.4482758620689655,gold_sentence,query,ceo_lastname
distractor,14-31,-0.00011112185214476008,-2.5392956003400138e-05,29,0.41379310344827586,gold_value,answer,ceo_lastname
gold,14-31,3.2897174161421355e-05,-2.3490185847219474e-05,29,0.4482758620689655,gold_value,answer,ceo_lastname
random,14-31,-0.00019331135997159064,-6.187069162252537e-05,29,0.3793103448275862,gold_value,answer,ceo_lastname
distractor,14-31,-8.235707788856207e-05,-4.415002310390104e-05,29,0.3448275862068966,gold_value,query,ceo_lastname
gold,14-31,0.0004581017985562872,0.0003960898684366751,29,0.5862068965517241,gold_value,query,ceo_lastname
random,14-31,-0.00024357839859344776,-8.612752546580718e-05,29,0.3103448275862069,gold_value,query,ceo_lastname
distractor,13-18,0.00010723298578976413,0.0002103472068704489,13,0.6153846153846154,gold_sentence,answer,employees_count_total
gold,13-18,0.012024105250755923,0.010357921955289355,13,0.6923076923076923,gold_sentence,answer,employees_count_total
random,13-18,6.046221943147688e-05,-7.357704119706848e-05,13,0.38461538461538464,gold_sentence,answer,employees_count_total
distractor,13-18,1.993308001610252e-05,5.338148033401604e-06,13,0.5384615384615384,gold_sentence,query,employees_count_total
gold,13-18,0.021115785878221903,0.01682880187118143,13,1.0,gold_sentence,query,employees_count_total
random,13-18,0.00012052582046156654,7.494627505939171e-05,13,0.6153846153846154,gold_sentence,query,employees_count_total
distractor,13-18,0.00010723349122794369,0.0002103472068704489,13,0.6153846153846154,gold_value,answer,employees_count_total
gold,13-18,0.012084551190441922,0.010357921955289355,13,0.7692307692307693,gold_value,answer,employees_count_total
random,13-18,6.046443471245945e-05,-7.357704119706848e-05,13,0.38461538461538464,gold_value,answer,employees_count_total
distractor,13-18,-1.4609898256380588e-05,-0.0001122852646679255,13,0.46153846153846156,gold_value,query,employees_count_total
gold,13-18,0.01949235282139981,0.013720492390164324,13,1.0,gold_value,query,employees_count_total
random,13-18,0.00011188889799601812,7.494627505939171e-05,13,0.6153846153846154,gold_value,query,employees_count_total
gold,13-19,0.0004765620951525179,0.0022536616020827666,13,0.6923076923076923,gold_sentence,answer,employees_count_total
gold,13-19,2.7119259705769537e-05,-0.00019183631644256017,13,0.46153846153846156,gold_sentence,query,employees_count_total
gold,13-19,0.00047656195000631967,0.0022536616020827666,13,0.6923076923076923,gold_value,answer,employees_count_total
gold,13-19,-7.423176069930197e-06,-0.00019183631644256017,13,0.38461538461538464,gold_value,query,employees_count_total
gold,14-0,0.0019491630376003144,0.0009671252760248948,13,0.6923076923076923,gold_sentence,answer,employees_count_total
gold,14-0,-0.00026056686622579823,-0.00022339746913324765,13,0.38461538461538464,gold_sentence,query,employees_count_total
gold,14-0,0.001983704080590155,0.0009671252760248948,13,0.7692307692307693,gold_value,answer,employees_count_total
gold,14-0,-0.00013967305568877685,-2.7592136895312654e-05,13,0.46153846153846156,gold_value,query,employees_count_total
distractor,14-31,-0.0002769821496056981,-0.00031936118688704885,13,0.15384615384615385,gold_sentence,answer,employees_count_total
gold,14-31,0.002128585648508844,0.0010454280667558946,13,0.5384615384615384,gold_sentence,answer,employees_count_total
random,14-31,2.2305774438415547e-05,-4.64186785513183e-07,13,0.46153846153846156,gold_sentence,answer,employees_count_total
distractor,14-31,-7.728649387361768e-05,-0.00010526025979509843,13,0.3076923076923077,gold_sentence,query,employees_count_total
gold,14-31,0.001621175223704583,-0.0009934416744495811,13,0.38461538461538464,gold_sentence,query,employees_count_total
random,14-31,-0.0001288917809274137,-0.00021722746194645387,13,0.3076923076923077,gold_sentence,query,employees_count_total
distractor,14-31,-0.0002856179088428495,-0.00031936118688704885,13,0.07692307692307693,gold_value,answer,employees_count_total
gold,14-31,0.0021113185955962985,0.0010454280667558946,13,0.5384615384615384,gold_value,answer,employees_count_total
random,14-31,6.548285666374714e-05,1.442080363789622e-05,13,0.5384615384615384,gold_value,answer,employees_count_total
distractor,14-31,-6.0017051710533125e-05,-0.00010526025979509843,13,0.3076923076923077,gold_value,query,employees_count_total
gold,14-31,0.0014484708178682307,-0.0009934416744495811,13,0.38461538461538464,gold_value,query,employees_count_total
random,14-31,-0.00012025510243100693,-0.00021722746194645387,13,0.3076923076923077,gold_value,query,employees_count_total
